127.0.0.1, 2014-10-23 18:31:27, GET, /betastore/static/js/share.js, HTTP/1.1, 304, 0.000583
127.0.0.1, 2014-10-23 18:31:29, GET, /betastore/appadmin/select/db, HTTP/1.1, 200, 0.122720
127.0.0.1, 2014-10-23 18:31:29, GET, /betastore/static/js/share.js, HTTP/1.1, 304, 0.000579
127.0.0.1, 2014-10-23 18:32:18, GET, /betastore/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000576
127.0.0.1, 2014-10-23 18:32:19, GET, /betastore/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000472
127.0.0.1, 2014-10-23 18:32:20, GET, /betastore/default/user/logout, HTTP/1.1, 303, 0.312339
127.0.0.1, 2014-10-23 18:32:20, GET, /betastore/default/user/logout, HTTP/1.1, 303, 0.388207
127.0.0.1, 2014-10-23 18:32:21, GET, /betastore/default/index, HTTP/1.1, 200, 0.132662
127.0.0.1, 2014-10-23 18:32:21, GET, /betastore/static/js/share.js, HTTP/1.1, 304, 0.000786
127.0.0.1, 2014-10-23 18:32:29, GET, /betastore/default/user/login, HTTP/1.1, 200, 0.456035
127.0.0.1, 2014-10-23 18:32:29, GET, /betastore/static/js/share.js, HTTP/1.1, 304, 0.000592
127.0.0.1, 2014-10-23 18:32:38, GET, /admin/default/site, HTTP/1.1, 200, 0.104253
127.0.0.1, 2014-10-23 18:32:38, GET, /admin/default/site, HTTP/1.1, 200, 0.066127
127.0.0.1, 2014-10-23 18:32:38, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000287
127.0.0.1, 2014-10-23 18:32:38, GET, /admin/static/images/questions.png, HTTP/1.1, 304, 0.000290
127.0.0.1, 2014-10-23 18:32:43, GET, /admin/default/design/betastore, HTTP/1.1, 200, 0.172270
127.0.0.1, 2014-10-23 18:33:53, GET, /betastore/default/user/register, HTTP/1.1, 200, 0.122540
127.0.0.1, 2014-10-23 18:33:53, GET, /betastore/static/js/share.js, HTTP/1.1, 304, 0.000623
127.0.0.1, 2014-10-23 18:34:32, POST, /betastore/default/user/register, HTTP/1.1, 200, 0.182009
127.0.0.1, 2014-10-23 18:34:32, GET, /betastore/static/js/share.js, HTTP/1.1, 304, 0.000945
127.0.0.1, 2014-10-23 18:39:44, GET, /admin/default/design/betastore, HTTP/1.1, 200, 0.407802
127.0.0.1, 2014-10-23 18:39:44, GET, /admin/default/design/betastore, HTTP/1.1, 200, 0.562166
127.0.0.1, 2014-10-23 18:39:44, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000572
127.0.0.1, 2014-10-23 18:39:44, GET, /admin/static/images/search.png, HTTP/1.1, 304, 0.001155
127.0.0.1, 2014-10-23 18:39:44, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 304, 0.000621
